    #,  TwoTheta,     Theta, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18
  260,    7.4286,    3.7143,        1,  1001529,   5.9665,    94955,     2244,     0000, 3.7941987e-05,        0,        4,  1668880,  1663508, 337836.9, 293547.34,     5084,    41652,   200232,        6,        0,        0,        0,        0,        0,    45389,        4,      167,       37,      250,       68,       -2,      325,       38,        5,      573,     5887,       -2,       -2,       -2,       -2,        0,        0
  261,    7.4571,    3.7286,        3,  1006144,   6.0048,    95395,     2261,     0000, 3.7767954e-05,        0,        8,  1679319,  1673534, 338653.17, 294950.17,     5147,    41566,   200966,        2,        0,        0,        0,        0,        0,    44067,        6,      209,       37,      275,       72,       -2,      383,       38,        8,      610,     5276,       -2,       -2,       -2,       -2,        0,        0
  262,    7.4857,    3.7429,        0,  1010113,   6.0432,    95773,     2267,     0000, 5.0489401e-05,        0,        3,  1690636,  1684623, 340221.91, 296644.16,     5248,    42090,   202368,        4,        0,        0,        0,        0,        0,    43180,        8,      245,       35,      328,       66,       -2,      381,       51,        3,      646,     4563,       -2,       -2,       -2,       -2,        0,        0
  263,    7.5143,    3.7571,        0,  1015077,   6.0818,    96260,     2282,     0000, 7.9796902e-05,        0,        0,  1703083,  1696681, 341280.44, 297096.13,     5107,    42053,   202005,        8,        0,        0,        0,        0,        0,    41457,       24,      315,       45,      388,       88,       -2,      454,       81,        4,      702,     3995,       -2,       -2,       -2,       -2,        0,        0
  264,    7.5429,    3.7714,        0,  1021942,   6.1205,    96909,     2301,     0000, 9.7852911e-05,        0,        4,  1715490,  1708968, 342229.01, 298491.76,     5146,    42333,   203049,        4,        0,        0,        0,        0,        0,    40983,       18,      404,       51,      476,       88,       -2,      545,      100,        6,      808,     3686,       -2,       -2,       -2,       -2,        0,        0
  265,    7.5714,    3.7857,        1,  1030408,   6.1594,    97699,     2313,     0000, 0.00010772432,        0,        4,  1726311,  1719825, 343853.98, 299691.17,     5149,    42495,   203233,        3,        2,        2,        2,        0,        0,    39786,       26,      508,       43,      604,       72,       -2,      645,      111,        1,      920,     3217,       -2,       -2,       -2,       -2,        0,        0
  266,       7.6,       3.8,        1,  1036703,   6.1984,    98294,     2329,     0000, 0.00013697269,        0,        2,  1734847,  1727941, 346106.26, 301614.14,     5271,    42482,   204857,        6,        0,        0,        0,        0,        0,    39124,       27,      615,       44,      696,       76,       -2,      756,      142,        2,     1014,     2830,       -2,       -2,       -2,       -2,        0,        0
  267,    7.6286,    3.8143,        0,  1044078,   6.2376,    98989,     2335,     0000, 0.00018293652,        0,        3,  1745338,  1738276, 344556.53, 300887.38,     5445,    42614,   203342,        1,        0,        0,        0,        0,        0,    38202,       40,      712,       36,      803,       68,       -2,      828,      191,        4,     1136,     2459,       -2,       -2,       -2,       -2,        0,        0
  268,    7.6571,    3.8286,        1,  1051657,   6.2769,    99698,     2349,     0000, 0.00019017607,        0,        3,  1754707,  1748524, 349841.09, 304566.06,     5404,    42987,   205083,        1,        0,        0,        0,        0,        0,    36236,       41,      713,       42,      808,       67,       -2,      833,      200,        4,     1115,     2201,       -2,       -2,       -2,       -2,        0,        0
  269,    7.6857,    3.8429,        1,  1058362,   6.3163,   100335,     2360,     0000, 0.00019275068,        0,        3,  1764958,  1757532, 350530.4, 305343.46,     5558,    42725,   203903,        4,        0,        0,        0,        0,        0,    35145,       55,      740,       34,      813,       80,       -2,      840,      204,        5,     1144,     2003,       -2,       -2,       -2,       -2,        0,        0
  270,    7.7143,    3.8571,        0,  1065761,   6.3559,   101028,     2385,     0000, 0.00021768483,        0,        3,  1774311,  1767672, 348253.48, 304156.12,     5719,    43109,   201637,        2,        0,        0,        0,        0,        0,    34053,       52,      772,       49,      866,       70,       -2,      871,      232,        0,     1174,     1802,       -2,       -2,       -2,       -2,        0,        0
  271,    7.7429,    3.8714,        3,  1073438,   6.3957,   101762,     2402,     0000, 0.00018259089,        0,        7,  1784052,  1778121, 343958.88, 301063.15,     5817,    42754,   199263,        2,        0,        0,        0,        0,        0,    32831,       52,      725,       43,      808,       65,       -2,      824,      196,        3,     1144,     1625,       -2,       -2,       -2,       -2,        0,        0
  272,    7.7714,    3.8857,        2,  1078848,   6.4356,   102258,     2418,     0000, 0.00015942932,        0,        7,  1793526,  1786202, 350564.22, 306725.19,     5953,    43186,   203525,        3,        0,        0,        0,        0,        0,    31989,       45,      636,       53,      720,       78,       -2,      778,      172,        4,     1098,     1487,       -2,       -2,       -2,       -2,        0,        0
  273,       7.8,       3.9,        2,  1085191,   6.4756,   102860,     2434,     0000, 0.00012716655,        0,        7,  1805428,  1798249, 357977.64, 312298.76,     5785,    43298,   208841,        5,        0,        0,        0,        0,        0,    31152,       29,      504,       34,      577,       66,       -2,      638,      138,        7,      950,     1467,       -2,       -2,       -2,       -2,        0,        0
  274,    7.8286,    3.9143,        0,  1092162,   6.5158,   103519,     2435,     0000, 0.00010163327,        0,        0,  1815842,  1808571, 361717.44, 315605.21,     5576,    43656,   212578,        7,        0,        0,        0,        0,        0,    30327,       19,      462,       40,      531,       71,       -2,      585,      111,        2,      910,     1262,       -2,       -2,       -2,       -2,        0,        0
  275,    7.8571,    3.9286,        1,  1098273,   6.5561,   104106,     2452,     0000, 6.6467991e-05,        0,        2,  1826213,  1818938, 362914.16, 316732.83,     5498,    43745,   214280,        0,        1,        1,        1,        0,        0,    29286,       16,      311,       42,      384,       70,       -2,      465,       73,        5,      766,     1159,       -2,       -2,       -2,       -2,        0,        0
  276,    7.8857,    3.9429,        1,  1105362,   6.5966,   104765,     2470,     0000, 3.9805964e-05,        0,        7,  1837591,  1830642, 365267.16, 318550.01,     5454,    44063,   216081,        3,        0,        0,        0,        0,        0,    28804,       10,      212,       35,      286,       60,       -2,      393,       44,        3,      687,     1055,       -2,       -2,       -2,       -2,        0,        0
  277,    7.9143,    3.9571,        0,  1112102,   6.6372,   105426,     2486,     0000, 3.0572735e-05,        0,        4,  1848146,  1840399, 367523.48, 320910.2,     5422,    44465,   218030,        2,        0,        0,        0,        0,        0,    28151,        2,      181,       43,      259,       85,       -2,      351,       34,        3,      638,      989,       -2,       -2,       -2,       -2,        0,        0
  278,    7.9429,    3.9714,        0,  1118885,   6.6780,   106062,     2498,     0000, 1.6087444e-05,        0,        3,  1859624,  1850635, 370188.7, 323122.1,     5444,    44555,   219658,        5,        0,        0,        0,        0,        0,    27544,        4,      145,       44,      219,       78,       -2,      312,       18,        5,      606,      901,       -2,       -2,       -2,       -2,        0,        0
  279,    7.9714,    3.9857,        1,  1127701,   6.7189,   106898,     2520,     0000, 1.5961678e-05,        0,        5,  1869528,  1861680, 372262.35, 324759.51,     5486,    44749,   221133,        3,        0,        0,        0,        0,        0,    27242,        2,      152,       42,      220,       77,       -2,      312,       18,        3,      536,      849,       -2,       -2,       -2,       -2,        0,        0
  280,         8,         4,        1,  1134523,   6.7600,   107535,     2537,     0000, 3.6138536e-05,        0,        3,  1878080,  1869414, 373713.08, 326751.36,     5544,    45020,   222222,        4,        0,        0,        0,        0,        0,    26978,        6,      195,       34,      281,       63,       -2,      369,       41,        2,      612,      829,       -2,       -2,       -2,       -2,        0,        0
  281,    8.0286,    4.0143,        0,  1139222,   6.8012,   107980,     2547,     0000, 4.4767394e-05,        0,        1,  1887085,  1879164, 375821.61, 328287.91,     5448,    45252,   223619,        0,        0,        0,        0,        0,        0,    26432,       10,      277,       35,      354,       67,       -2,      433,       51,        5,      696,      740,       -2,       -2,       -2,       -2,        0,        0
  282,    8.0571,    4.0286,        3,  1144400,   6.8426,   108473,     2557,     0000, 7.602237e-05,        0,        6,  1900639,  1893013, 377867.77, 330257.1,     5474,    45189,   225059,        2,        1,        1,        1,        0,        0,    26343,       17,      326,       37,      405,       63,       -2,      490,       87,        3,      746,      715,       -2,       -2,       -2,       -2,        0,        0
  283,    8.0857,    4.0429,        0,  1150707,   6.8841,   109067,     2575,     0000, 9.993856e-05,        0,        1,  1913213,  1905614, 377351.38, 330037.03,     5540,    45081,   225232,        4,        1,        1,        1,        0,        0,    26275,       20,      446,       47,      531,       69,       -2,      615,      115,        5,      904,      629,       -2,       -2,       -2,       -2,        0,        0
  284,    8.1143,    4.0571,        0,  1155879,   6.9257,   109552,     2591,     0000, 0.00011506395,        0,        2,  1924263,  1916637, 379537.86, 332048.01,     5460,    44857,   226893,        2,        0,        0,        0,        0,        0,    26084,       32,      523,       43,      589,       79,       -2,      664,      133,        6,      922,      559,       -2,       -2,       -2,       -2,        0,        0
  285,    8.1429,    4.0714,        0,  1160060,   6.9676,   109977,     2620,     0000, 0.00011895936,        0,        3,  1937072,  1929113, 380344.68, 332777.2,     5395,    44840,   227478,        5,        0,        0,        0,        0,        0,    25776,       28,      523,       41,      589,       76,       -2,      654,      138,        4,      947,      572,       -2,       -2,       -2,       -2,        0,        0
  286,    8.1714,    4.0857,        1,  1166149,   7.0095,   110547,     2630,     0000, 0.0001432064,        0,        6,  1950478,  1942740, 382837.97, 335040.18,     5510,    45314,   228724,        3,        0,        0,        0,        0,        0,    26036,       29,      630,       32,      726,       57,       -2,      742,      167,        1,     1041,      485,       -2,       -2,       -2,       -2,        0,        0
  287,       8.2,       4.1,        2,  1170603,   7.0516,   110981,     2654,     0000, 0.00015718395,        0,        8,  1961942,  1953284, 381385.79, 334083.65,     5585,    45639,   227402,        3,        0,        0,        0,        0,        0,    25658,       48,      660,       47,      735,       69,       -2,      816,      184,        5,     1093,      446,       -2,       -2,       -2,       -2,        0,        0
  288,    8.2286,    4.1143,        3,  1175685,   7.0938,   111460,     2658,     0000, 0.0001114244,        0,        8,  1973906,  1966576, 380960.75, 334311.63,     5559,    45853,   227647,        4,        0,        0,        0,        0,        0,    25336,       29,      610,       30,      683,       66,       -2,      734,      131,        4,     1038,      396,       -2,       -2,       -2,       -2,        0,        0
  289,    8.2571,    4.1286,        1,  1181892,   7.1362,   112031,     2678,     0000, 0.00011168533,        0,        4,  1988292,  1980461, 383465.68, 336330.84,     5570,    45554,   229276,        3,        0,        0,        0,        0,        0,    25522,       33,      550,       43,      622,       81,       -2,      685,      132,        3,     1010,      334,       -2,       -2,       -2,       -2,        0,        0
  290,    8.2857,    4.1429,        2,  1190816,   7.1788,   112871,     2695,     0000, 0.00010497004,        0,        5,  2000586,  1992951, 385600.75, 338084.43,     5504,    45638,   230751,        4,        2,        2,        2,        0,        0,    25130,       25,      485,       37,      544,       80,       -2,      631,      125,        5,      941,      305,       -2,       -2,       -2,       -2,        0,        0
  291,    8.3143,    4.1571,        0,  1199462,   7.2215,   113715,     2701,     0000, 8.0035883e-05,        0,        6,  2010552,  2002811, 387785.25, 339452.01,     5597,    45953,   231294,        4,        1,        1,        1,        0,        0,    25354,       21,      390,       39,      470,       67,       -2,      543,       96,        9,      819,      277,       -2,       -2,       -2,       -2,        0,        0
  292,    8.3429,    4.1714,        0,  1209113,   7.2643,   114615,     2716,     0000, 5.7893679e-05,        0,        2,  2020619,  2013264, 391465.53, 343136.19,     5617,    46470,   234090,        3,        1,        1,        1,        0,        0,    25180,       17,      301,       31,      364,       65,       -2,      457,       70,        3,      777,      238,       -2,       -2,       -2,       -2,        0,        0
  293,    8.3714,    4.1857,        0,  1217340,   7.3073,   115381,     2732,     0000, 3.614438e-05,        0,        3,  2028879,  2021606, 392510.19, 344041.05,     5502,    46424,   234505,        6,        0,        0,        0,        0,        0,    25398,        8,      224,       39,      284,       70,       -2,      408,       44,        2,      712,      228,       -2,       -2,       -2,       -2,        0,        0
  294,       8.4,       4.2,        2,  1224417,   7.3504,   116055,     2748,     0000, 2.2051311e-05,        0,        4,  2038419,  2031479, 392864.18, 344535.3,     5620,    46275,   235131,        2,        0,        0,        0,        0,        0,    25112,        6,      147,       48,      213,       85,       -2,      340,       27,        2,      601,      207,       -2,       -2,       -2,       -2,        0,        0
  295,    8.4286,    4.2143,        1,  1232367,   7.3937,   116817,     2764,     0000, 1.1360252e-05,        0,        9,  2050574,  2043737, 394873.92, 346090.46,     5626,    47048,   235543,        4,        0,        0,        0,        0,        0,    25024,        2,      121,       41,      182,       64,       -2,      298,       14,        5,      536,      157,       -2,       -2,       -2,       -2,        0,        0
  296,    8.4571,    4.2286,        1,  1240937,   7.4371,   117612,     2781,     0000, 1.6116854e-05,        0,        2,  2061326,  2053285, 398918.28, 349223.62,     5737,    46913,   238048,        3,        0,        0,        0,        0,        0,    25021,        5,      132,       41,      197,       71,       -2,      307,       20,        4,      579,      162,       -2,       -2,       -2,       -2,        0,        0
  297,    8.4857,    4.2429,        1,  1251032,   7.4807,   118577,     2795,     0000, 1.6786141e-05,        0,        3,  2070669,  2063343, 405152.61, 354755.4,     5731,    47484,   242329,        3,        1,        1,        1,        0,        0,    25305,        2,      132,       40,      200,       60,       -2,      327,       21,        3,      616,      162,       -2,       -2,       -2,       -2,        0,        0
  298,    8.5143,    4.2571,        1,  1270655,   7.5244,   120421,     2818,     0000, 2.0461888e-05,        0,        3,  2093245,  2086550, 409642.05, 358641.83,     5693,    47624,   244645,        5,        1,        1,        1,        0,        0,    25414,        1,      184,       48,      253,       81,       -2,      397,       26,        9,      682,      143,       -2,       -2,       -2,       -2,        0,        0
  299,    8.5429,    4.2714,        1,  1276981,   7.5682,   121022,     2837,     0000, 3.4456268e-05,        0,        2,  2108334,  2101842, 412029.94, 360626.48,     5779,    48154,   246134,        5,        0,        0,        0,        0,        0,    25604,        8,      239,       45,      312,       89,       -2,      413,       44,        4,      664,      147,       -2,       -2,       -2,       -2,        0,        0
  300,    8.5714,    4.2857,        0,  1280660,   7.6122,   121371,     2852,     0000, 4.1384911e-05,        0,        2,  2121793,  2115257, 411472.29, 360104.86,     5905,    48337,   245228,        3,        0,        0,        0,        0,        0,    25335,        8,      293,       34,      356,       72,       -2,      483,       53,        1,      726,      155,       -2,       -2,       -2,       -2,        0,        0
  301,       8.6,       4.3,        1,  1283927,   7.6564,   121673,     2863,     0000, 6.3866559e-05,        0,        4,  2137276,  2129673, 411676.97, 360639.41,     5731,    48311,   245747,        5,        0,        0,        0,        0,        0,    25541,       15,      355,       47,      431,       74,       -2,      506,       82,        4,      794,      155,       -2,       -2,       -2,       -2,        0,        0
  302,    8.6286,    4.3143,        2,  1290875,   7.7007,   122337,     2880,     0000, 6.6621478e-05,        0,        6,  2153905,  2145695, 413235.07, 362271.83,     5833,    48295,   247003,        5,        1,        1,        1,        0,        0,    25520,       16,      402,       41,      457,       78,       -2,      551,       86,        3,      785,      142,       -2,       -2,       -2,       -2,        0,        0
  303,    8.6571,    4.3286,        0,  1299447,   7.7452,   123148,     2899,     0000, 7.387758e-05,        0,        2,  2166526,  2157129, 414597.93, 363859.45,     5861,    48454,   248408,        5,        0,        0,        0,        0,        0,    25997,       20,      435,       44,      520,       80,       -2,      583,       96,        3,      881,      110,       -2,       -2,       -2,       -2,        0,        0
  304,    8.6857,    4.3429,        0,  1306677,   7.7897,   123839,     2915,     0000, 8.0356507e-05,        0,        4,  2175211,  2166394, 410356.08, 360680.86,     5890,    48345,   245108,        3,        0,        0,        0,        0,        0,    25758,       19,      445,       39,      509,       62,       -2,      604,      105,        4,      902,      121,       -2,       -2,       -2,       -2,        0,        0
  305,    8.7143,    4.3571,        2,  1312008,   7.8345,   124356,     2932,     0000, 8.7651905e-05,        0,        6,  2186426,  2177701, 402081.69, 354557.67,     5810,    48290,   239349,        1,        0,        0,        0,        0,        0,    26362,       23,      438,       37,      507,       62,       -2,      618,      115,        5,      918,      129,       -2,       -2,       -2,       -2,        0,        0
  306,    8.7429,    4.3714,        1,  1318534,   7.8794,   124947,     2946,     0000, 7.3566552e-05,        0,        7,  2200432,  2191405, 405725.01, 357511.09,     5834,    48506,   242097,        2,        0,        0,        0,        0,        0,    25998,       25,      399,       36,      470,       59,       -2,      562,       97,        3,      873,      157,       -2,       -2,       -2,       -2,        0,        0
  307,    8.7714,    4.3857,        1,  1325073,   7.9244,   125557,     2957,     0000, 4.754455e-05,        0,        7,  2212381,  2204023, 415413.75, 364737.11,     5841,    48456,   248347,        5,        1,        1,        1,        0,        0,    26162,       19,      357,       50,      425,       83,       -2,      541,       63,        4,      860,      126,       -2,       -2,       -2,       -2,        0,        0
  308,       8.8,       4.4,        0,  1332551,   7.9696,   126302,     2982,     0000, 5.9284785e-05,        0,        4,  2227035,  2217309, 419009.69, 367812.98,     5916,    48821,   250243,        5,        0,        0,        0,        0,        0,    25855,       17,      329,       43,      405,       74,       -2,      500,       79,        2,      816,      126,       -2,       -2,       -2,       -2,        0,        0
  309,    8.8286,    4.4143,        0,  1341319,   8.0149,   127129,     2993,     0000, 4.025888e-05,        0,        7,  2237968,  2227626, 424174.17, 372501.92,     5989,    49569,   253881,        3,        0,        0,        0,        0,        0,    25878,       12,      271,       44,      355,       82,       -2,      461,       54,        2,      741,      116,       -2,       -2,       -2,       -2,        0,        0
  310,    8.8571,    4.4286,        1,  1349210,   8.0604,   127869,     3014,     0000, 4.150577e-05,        0,        5,  2248098,  2238469, 426137.66, 373559.62,     5857,    49155,   254996,        3,        0,        0,        0,        0,        0,    26233,       13,      208,       43,      253,       74,       -2,      370,       56,        5,      670,      135,       -2,       -2,       -2,       -2,        0,        0
  311,    8.8857,    4.4429,        3,  1357653,   8.1060,   128671,     3034,     0000, 3.1672305e-05,        0,        8,  2258912,  2249779, 428663.22, 376006.43,     6030,    49221,   256758,        1,        0,        0,        0,        0,        0,    26240,        8,      206,       53,      271,       99,       -2,      415,       43,        3,      693,      143,       -2,       -2,       -2,       -2,        0,        0
  312,    8.9143,    4.4571,        3,  1363550,   8.1518,   129259,     3048,     0000, 1.5400975e-05,        0,        5,  2268833,  2260336, 429697.9, 377167.67,     5917,    49748,   256987,        3,        0,        0,        0,        0,        0,    26110,        2,      120,       51,      178,       90,       -2,      343,       21,        5,      609,      132,       -2,       -2,       -2,       -2,        0,        0
  313,    8.9429,    4.4714,        1,  1369502,   8.1977,   129788,     3066,     0000, 1.2413271e-05,        0,        4,  2283641,  2274883, 433569.34, 380882.58,     6061,    49836,   259362,        2,        1,        1,        1,        0,        0,    26183,        1,       93,       45,      139,       82,       -2,      336,       17,        5,      627,      120,       -2,       -2,       -2,       -2,        0,        0
  314,    8.9714,    4.4857,        1,  1376743,   8.2438,   130471,     3083,     0000, 1.089528e-05,        0,        5,  2297879,  2287588, 433969.48, 381440.06,     5864,    50184,   260250,        3,        0,        0,        0,        0,        0,    26304,        2,       91,       42,      157,       70,       -2,      299,       15,        5,      574,      130,       -2,       -2,       -2,       -2,        0,        0
  315,         9,       4.5,        2,  1383353,   8.2900,   131122,     3103,     0000, 7.9516942e-06,        0,        5,  2308791,  2299522, 435481.99, 383329.6,     6011,    49890,   261853,        4,        0,        0,        0,        0,        0,    26035,        2,      102,       55,      156,       83,       -2,      293,       11,        7,      573,      117,       -2,       -2,       -2,       -2,        0,        0
  316,    9.0286,    4.5143,        1,  1388141,   8.3364,   131574,     3121,     0000, 1.368737e-05,        0,       10,  2324423,  2311154, 436966.94, 384431.2,     5827,    50107,   262480,        4,        0,        0,        0,        0,        0,    26457,        1,      148,       41,      199,       75,       -2,      345,       19,        3,      609,      117,       -2,       -2,       -2,       -2,        0,        0
  317,    9.0571,    4.5286,        0,  1392493,   8.3829,   131984,     3133,     0000, 2.8725459e-05,        0,        4,  2341140,  2318474, 436378.44, 384002.29,     6126,    50139,   262487,        1,        0,        0,        0,        0,        0,    26456,        7,      168,       40,      226,       78,       -2,      364,       40,       10,      624,      174,       -2,       -2,       -2,       -2,        0,        0
  318,    9.0857,    4.5429,        0,  1400950,   8.4295,   132785,     3144,     0000, 3.2121061e-05,        0,        8,  2350460,  2331825, 438891.3, 386358.54,     5967,    49974,   264009,        5,        0,        0,        0,        0,        0,    26600,        9,      214,       56,      306,       87,       -2,      399,       45,        4,      684,      122,       -2,       -2,       -2,       -2,        0,        0
  319,    9.1143,    4.5571,        3,  1410346,   8.4763,   133685,     3168,     0000, 4.466989e-05,        0,        4,  2362512,  2349243, 440895.7, 388240.81,     6028,    50685,   265054,        4,        0,        0,        0,        0,        0,    26670,       13,      235,       45,      290,       78,       -2,      407,       63,        3,      696,      130,       -2,       -2,       -2,       -2,        0,        0
  320,    9.1429,    4.5714,        2,  1418336,   8.5233,   134430,     3189,     0000, 4.2303093e-05,        0,        4,  2371487,  2360112, 443789.38, 390382.6,     6116,    51139,   265273,        6,        1,        1,        1,        0,        0,    26844,        7,      308,       49,      364,       91,       -2,      502,       60,        7,      801,      129,       -2,       -2,       -2,       -2,        0,        0
  321,    9.1714,    4.5857,        2,  1421963,   8.5704,   134781,     3205,     0000, 5.1337482e-05,        0,        7,  2383399,  2373125, 443250.41, 390654.11,     6116,    50889,   266234,        4,        0,        0,        0,        0,        0,    26781,       24,      343,       31,      407,       58,       -2,      511,       73,        4,      780,      122,       -2,       -2,       -2,       -2,        0,        0
  322,       9.2,       4.6,        1,  1428750,   8.6176,   135439,     3229,     0000, 4.7594051e-05,        0,        2,  2399044,  2390283, 446288.27, 392729.88,     6080,    51127,   268158,        2,        1,        1,        1,        0,        0,    26840,       15,      385,       40,      440,       79,       -2,      540,       68,        4,      829,      160,       -2,       -2,       -2,       -2,        0,        0
  323,    9.2286,    4.6143,        1,  1439774,   8.6650,   136464,     3246,     0000, 4.8618742e-05,        0,        3,  2414054,  2406454, 448699.06, 395522.03,     6119,    51488,   270194,        4,        0,        0,        0,        0,        0,    27169,       20,      353,       39,      410,       73,       -2,      537,       70,        9,      806,      129,       -2,       -2,       -2,       -2,        0,        0
  324,    9.2571,    4.6286,        0,  1451956,   8.7125,   137625,     3257,     0000, 5.8541719e-05,        0,        5,  2422920,  2415374, 452702.67, 398780.87,     6073,    51198,   273904,        5,        0,        0,        0,        0,        0,    26988,       15,      330,       28,      394,       58,       -2,      506,       85,        3,      800,      149,       -2,       -2,       -2,       -2,        0,        0
  325,    9.2857,    4.6429,        1,  1468120,   8.7602,   139129,     3271,     0000, 4.223088e-05,        0,        6,  2421967,  2432272, 455626.97, 400639.17,     6156,    51176,   275404,        5,        0,        0,        0,        0,        0,    27097,       12,      321,       44,      389,       69,       -2,      496,       62,        7,      807,      126,       -2,       -2,       -2,       -2,        0,        0
  326,    9.3143,    4.6571,        1,  1464668,   8.8080,   138820,     3295,     0000, 3.4820178e-05,        0,        6,  2435709,  2437666, 454961.31, 400835.95,     6033,    50993,   274948,        1,        0,        0,        0,        0,        0,    27111,       12,      288,       54,      351,       89,       -2,      505,       51,        5,      802,      122,       -2,       -2,       -2,       -2,        0,        0
  327,    9.3429,    4.6714,        0,  1464024,   8.8560,   138751,     3312,     0000, 2.9371103e-05,        0,        3,  2457689,  2453471, 454153.81, 400787.51,     5959,    50836,   275552,        4,        0,        0,        0,        0,        0,    27223,        6,      219,       39,      259,       71,       -2,      418,       43,        6,      711,      118,       -2,       -2,       -2,       -2,        0,        0
  328,    9.3714,    4.6857,        1,  1467227,   8.9041,   139076,     3328,     0000, 2.8625427e-05,        0,        8,  2476484,  2469376, 454698.33, 401407.11,     5979,    50974,   276334,        5,        0,        0,        0,        0,        0,    27069,        9,      215,       43,      256,       83,       -2,      405,       42,        5,      717,      126,       -2,       -2,       -2,       -2,        0,        0
  329,       9.4,       4.7,        3,  1475095,   8.9524,   139812,     3353,     0000, 2.508313e-05,        0,        9,  2493989,  2483542, 457020.02, 403717.43,     5964,    51509,   277767,        6,        0,        0,        0,        0,        0,    26899,       10,      165,       45,      209,       91,       -2,      370,       37,        6,      626,      129,       -2,       -2,       -2,       -2,        0,        0
  330,    9.4286,    4.7143,        3,  1496523,   9.0008,   141854,     3368,     0000, 1.6037174e-05,        0,        9,  2517480,  2506678, 462497.95, 407520.96,     6098,    51602,   280523,        2,        0,        0,        0,        0,        0,    27489,        2,      136,       51,      195,       78,       -2,      352,       24,        3,      624,      131,       -2,       -2,       -2,       -2,        0,        0
  331,    9.4571,    4.7286,        0,  1508279,   9.0494,   142982,     3388,     0000, 7.9560877e-06,        0,        6,  2544145,  2524551, 465291.95, 411004.72,     6189,    52572,   282248,        3,        0,        0,        0,        0,        0,    27260,        0,      105,       41,      155,       86,       -2,      304,       12,        4,      580,      134,       -2,       -2,       -2,       -2,        0,        0
  332,    9.4857,    4.7429,        1,  1515601,   9.0981,   143644,     3408,     0000, 5.9382384e-06,        0,        6,  2559394,  2532385, 467505.34, 412279.94,     6138,    52494,   283295,        0,        0,        0,        0,        0,        0,    27738,        5,      100,       45,      159,       74,       -2,      317,        9,        4,      622,      130,       -2,       -2,       -2,       -2,        0,        0
  333,    9.5143,    4.7571,        2,  1527292,   9.1469,   144775,     3421,     0000, 1.1785566e-05,        0,        6,  2564778,  2548439, 471177.53, 415253.1,     6157,    52442,   284858,        4,        0,        0,        0,        0,        0,    27605,        2,      112,       52,      166,       91,       -2,      304,       18,        6,      555,      139,       -2,       -2,       -2,       -2,        0,        0
  334,    9.5429,    4.7714,        0,  1534135,   9.1960,   145427,     3436,     0000, 2.2162326e-05,        0,        5,  2574994,  2562509, 473582.28, 417514.57,     6201,    53074,   286556,        4,        0,        0,        0,        0,        0,    27700,        5,      147,       51,      210,       81,       -2,      346,       34,        4,      589,      169,       -2,       -2,       -2,       -2,        0,        0
  335,    9.5714,    4.7857,        1,  1541555,   9.2451,   146129,     3456,     0000, 1.9460869e-05,        0,        8,  2591064,  2578193, 472813.01, 417268.44,     6167,    52848,   286458,        1,        0,        0,        0,        0,        0,    27604,        6,      172,       48,      237,       92,       -2,      380,       30,        2,      636,      127,       -2,       -2,       -2,       -2,        0,        0
  336,       9.6,       4.8,        1,  1550646,   9.2944,   146989,     3479,     0000, 2.4505916e-05,        0,        6,  2602674,  2590343, 475743.16, 419493.45,     6338,    53392,   287515,        4,        0,        0,        0,        0,        0,    27972,        8,      206,       49,      261,       79,       -2,      411,       38,        3,      702,      139,       -2,       -2,       -2,       -2,        0,        0
  337,    9.6286,    4.8143,        1,  1559519,   9.3438,   147833,     3491,     0000, 4.0397071e-05,        0,       12,  2613722,  2604649, 478404.86, 422360.48,     6355,    53785,   289484,        1,        0,        0,        0,        0,        0,    27942,       10,      231,       46,      304,       87,       -2,      452,       63,        7,      718,      156,       -2,       -2,       -2,       -2,        0,        0
  338,    9.6571,    4.8286,        2,  1566669,   9.3934,   148496,     3508,     0000, 4.0851003e-05,        0,        6,  2627123,  2616483, 479544.34, 423465.52,     6315,    53998,   289838,        6,        0,        0,        0,        0,        0,    27995,       15,      284,       57,      347,       82,       -2,      505,       64,        2,      785,      143,       -2,       -2,       -2,       -2,        0,        0
  339,    9.6857,    4.8429,        1,  1575268,   9.4432,   149294,     3523,     0000, 5.0150197e-05,        0,        6,  2640455,  2630219, 482036.34, 425500.05,     6253,    54216,   291385,        4,        0,        0,        0,        0,        0,    28264,       17,      328,       41,      380,       78,       -2,      523,       79,        3,      837,      143,       -2,       -2,       -2,       -2,        0,        0
  340,    9.7143,    4.8571,        3,  1586024,   9.4931,   150326,     3540,     0000, 4.7288061e-05,        0,        9,  2654461,  2643000, 483984.74, 427491.53,     6326,    54488,   292440,        3,        0,        0,        0,        0,        0,    27738,       17,      330,       47,      390,       74,       -2,      503,       75,        4,      793,      143,       -2,       -2,       -2,       -2,        0,        0
